N°de serie,Proyecto,Cliente,LDP,Fecha de fin estimada,Fecha de entrega estimada,Reprogramaciones de entrega estimada,Causas de reprogramación entrega estimada,Estado,Próximo estadío,Fecha estadío más próximo,Última fecha de entrega acordada con cliente,Registro de fechas de entrega acordada con cliente reprogramadas,Causas reprogramación entrega Cliente,Fecha de fin de equipo,Fecha de entrega final,Comentarios,Duración Planificada Fabricación,Fecha KOM (Inicio del proyecto),Fecha de entrega segun KOM,Cotizado Met,Cotizado Inox,Cotizado GyP,Cotizado Mont,Cotizado Mont E,Cotizado Total,Reales Met,Reales Inox,Reales GyP,Reales Montaje,Reales Montaje E,Reales Total,Retrasos Met,Retrasos Inox,Retrasos GyP,Retrasos Mont,Retrasos Mont E,Retrasos Total,Complejidad,KPI 1 : Hs Consumidas vs Cotizadas,KPI 2: Retraso vs Programación Inicial (días),Carga de LDPs,KPI 3: Presupuesto consumido,Carga Proyección,Comentarios
ODS 1265,SISTEMA RECEPTOR SET DE FRACTURA - REPARACIÓN,TENARIS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1266,MANIFOLD SUCCION PARA TWS2250 x4,TENARIS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1267,ADICIONALES  REPARACION Y VTV,WSPI,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,15/05/2025,15/05/2025,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1276,REPARACION PELADORAS #1 Y #2,MCCAIN,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1277,Banco de soldadura,QME,0,00/01/1900,24/01/2025,00/01/1900,0,Entregado,0,,00/01/1900,0,0,28/04/2025,02/05/2025,0,0,,,0,0,0,0,0,,144,3,0,0,83,230,0,0,0,0,10,10,,,98,0,0%,0,
ODS 1280,Reparacion poor boy,0,0,00/01/1900,31/08/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,29/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,90,0,0%,0,
ODS 1281,Reparacion poor boy,0,0,00/01/1900,20/05/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,06/06/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,17,0,0%,0,
ODS 1282,Reparacion poor boy,0,0,00/01/1900,29/03/2024,00/01/1900,0,Cancelado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,766,0,0%,0,
ODS 1286,#N/A,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1291,ROLADO Y SOLDADURA ACUMULADOR 1500L,ELECTROTERMA,0,00/01/1900,29/05/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,29/05/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
ODS 1293,REBUILDING TUB #131037,CALFRAC,0,00/01/1900,01/12/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,18/12/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,17,0,0%,0,
ODS 1297,REBUILDING BATCH MIXER ,TENARIS,0,00/01/1900,04/10/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,01/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,-3,0,0%,0,
ODS 1298,ROLADO Y SOLDADURA VIROLA #1,ELECTROTERMA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1300,ROLADO Y SOLDADURA VIROLAS VARIAS,ELECTROTERMA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,07/12/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1301,ROLADO Y SOLDADURA VIROLAS NP1093,ELECTROTERMA,0,00/01/1900,04/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
ODS 1306,QM-01033 SUCTION MANIFOLD  QWS2500 x15,CALFRAC,0,00/01/1900,16/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/08/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0%,0,
ODS 1307,LIGHT REBUILD FRAC PUMP #1,SLB,0,00/01/1900,23/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,23/07/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,0,0,0%,0,
ODS 1308,LIGHT REBUILD FRAC PUMP #2,SLB,0,00/01/1900,25/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,26/07/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,1,0,0%,0,
ODS 1309,LIGHT REBUILD FRAC PUMP #8,SLB,0,00/01/1900,04/10/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/10/2024,0,0,,,50,0,50,700,100,900,0,0,8,162,0,170,0,0,0,9,0,9,3,18.9%,15,0,0%,0,
ODS 1310,LIGHT REBUILD FRAC PUMP #3,SLB,0,00/01/1900,05/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,10/08/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,5,0,0%,0,
ODS 1311,LIGHT REBUILD FRAC PUMP #4,SLB,0,00/01/1900,17/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/08/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,2,0,0%,0,
ODS 1312,2 x TANQUE VERTICAL 90m3 - BAHIA DE TESTEO SHOP NQN,SQM,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,0,0,0,0,0,,9,0,342,0,0,351,0,0,0,0,0,,,,,0,0%,0,
